"list","means","normmean","sds","normsd"
"energetic","27.8","0.462562396006656","21.5444103229032","0.716136612678096"
"enthusiastic","31.03","0.51630615640599","23.5952636062084","0.784307015181277"
"content","39.35","0.654742096505824","22.854999674054","0.759700627867104"
"irritable","25.69","0.427454242928453","22.954366235924","0.763003574291003"
"restless","28.8","0.479201331114809","19.7760185348545","0.657355235699091"
"worried","50.64","0.842595673876872","25.3542656742172","0.842776277685919"
"guilty","40.49","0.673710482529118","25.4119573381819","0.844693949703496"
"afraid","21.6","0.359400998336107","18.0218722331471","0.599047378959513"
"anhedonia","53.7","0.89351081530782","24.6942924743367","0.82083875585371"
"angry","10.04","0.167054908485857","10.1880500409236","0.338650978919845"
"hopeless","51.66","0.859567387687188","26.2205948818786","0.871573077177766"
"down","53.66","0.892845257903494","25.651991081876","0.852672675951335"
"positive","38.72","0.644259567387687","24.3036680941022","0.807854393956685"
"fatigue","60.1","1","29.9850130915598","0.996702410725548"
"tension","27.28","0.453910149750416","18.7013098444732","0.621631898201791"
"concentrate","42.96","0.714808652246256","20.629448403051","0.685723260899521"
"accepted","53.39","0.888352745424293","24.6100476319012","0.818038455674075"
"threatened","35.48","0.590349417637271","24.2676489977663","0.806657118503093"
"ruminate","25.4","0.422628951747088","17.0115825070432","0.565465329071316"
"avoid_act","49.34","0.820965058236273","24.3916776666538","0.810779833837644"
"reassure","38.12","0.634276206322795","22.9154264127196","0.761709213820238"
"procrast","54.52","0.907154742096506","30.0842184877753","1"
"avoid_people","48.47","0.80648918469218","26.754572912255","0.889322517157185"
