"list","means","normmean","sds","normsd"
"energetic","37.1111111111111","0.411652661064426","27.5673160844463","0.765136641849655"
"enthusiastic","34.7474747474747","0.385434173669468","25.9053786213831","0.719009218869593"
"content","36.1515151515151","0.401008403361344","24.6565649809636","0.684348134264926"
"irritable","73.1515151515152","0.811428571428571","24.7478564878277","0.686881949191899"
"restless","82.989898989899","0.920560224089636","23.0909890320767","0.640895245328532"
"worried","76.0909090909091","0.844033613445378","24.7774135582088","0.687702311881724"
"guilty","62.8989898989899","0.697703081232493","31.1970350990168","0.865880254653994"
"afraid","45.8383838383838","0.508459383753501","29.5032710295486","0.81886947753559"
"anhedonia","44.6767676767677","0.495574229691877","30.5236035408492","0.847189020463713"
"angry","44.6969696969697","0.495798319327731","31.2891239320926","0.868436199537261"
"hopeless","55.6161616161616","0.616918767507003","30.8808464086137","0.857104371211994"
"down","63.4949494949495","0.704313725490196","29.9650727761008","0.831686881902227"
"positive","27.3333333333333","0.303193277310924","20.9494045504976","0.581455118714344"
"fatigue","90.1515151515152","1","19.9690391153679","0.55424487037088"
"tension","55.5252525252525","0.615910364145658","31.5973853976273","0.876992061189821"
"concentrate","83.010101010101","0.92078431372549","23.3454513987222","0.647957901703778"
"accepted","39.020202020202","0.432829131652661","28.0349562401539","0.778116092487362"
"threatened","50.979797979798","0.565490196078431","30.8346411997603","0.855821935945908"
"ruminate","38.1818181818182","0.423529411764706","30.8255008521018","0.855568243678902"
"avoid_act","46.1717171717172","0.512156862745098","34.4371774673708","0.955811085905134"
"reassure","38.5656565656566","0.427787114845938","26.1830922294747","0.726717218329541"
"procrast","89.4040404040404","0.991708683473389","22.0971506113618","0.613311051443368"
"avoid_people","40.6464646464646","0.450868347338935","36.0292718667931","1"
