"list","means","normmean","sds","normsd"
"energetic","42.858407079646","0.723267622461171","15.8912977402263","0.780652709814399"
"enthusiastic","34.0796460176991","0.575119474313023","13.7328734851557","0.674621108670539"
"content","35.5221238938053","0.599462365591398","13.366467468694","0.656621581236161"
"irritable","52.8053097345133","0.891129032258065","18.827629017275","0.924898636472635"
"restless","53.1769911504425","0.897401433691756","19.3742419614363","0.95175074654285"
"worried","59.2566371681416","1","15.8022256349846","0.776277083514867"
"guilty","43.5840707964602","0.735513739545998","17.6557991604725","0.867333032447822"
"afraid","28.929203539823","0.488201911589008","13.9506251870655","0.685318061112147"
"anhedonia","27.6991150442478","0.467443249701314","11.643426222975","0.571977970652509"
"angry","36.3805309734513","0.6139486260454","20.2750368081711","0.996001880061689"
"hopeless","43.1769911504425","0.728643966547192","18.6711341803405","0.917210899415411"
"down","46.9557522123894","0.792413381123058","19.4529603790652","0.955617752689162"
"positive","39.0619469026549","0.659199522102748","14.5186353069332","0.713221297620908"
"fatigue","36.7079646017699","0.6194743130227","18.6177149779111","0.914586705607309"
"tension","53.2300884955752","0.898297491039427","15.806875114486","0.776505487061974"
"concentrate","38.2300884955752","0.645161290322581","16.7502712395723","0.822849388832361"
"accepted","40.1592920353982","0.677718040621266","16.1646474773111","0.794080890222984"
"threatened","27.2920353982301","0.460573476702509","14.8742835457287","0.730692354163613"
"ruminate","55.1327433628319","0.930406212664277","20.3564242337729","1"
"avoid_act","24.3097345132743","0.410244922341697","9.37328998310939","0.460458569514305"
"reassure","34.8318584070796","0.587813620071684","16.5679890660894","0.813894860699643"
"procrast","25.646017699115","0.432795698924731","11.778400596296","0.578608524809321"
"avoid_people","24.1504424778761","0.407556750298686","11.493182170731","0.564597300525055"
