"list","means","normmean","sds","normsd"
"energetic","39.2285714285714","0.613494191242181","25.905990227558","0.856440190725218"
"enthusiastic","45.2666666666667","0.707923741435806","25.0281636233858","0.827419644600673"
"content","63.9428571428571","1","20.8238161411716","0.688425839387534"
"irritable","15.8095238095238","0.247244563598451","20.296880793939","0.671005597763121"
"restless","38.4","0.600536193029491","25.3421206082498","0.837798918955155"
"worried","45.2095238095238","0.707030086386655","25.604121978132","0.84646056443642"
"guilty","22.5809523809524","0.353142686922848","20.2730310399256","0.670217135801368"
"afraid","6.8","0.106344950848972","9.9994230602801","0.33057635387272"
"anhedonia","22.2666666666667","0.348227584152517","21.7553117592828","0.719220658571333"
"angry","10.6285714285714","0.166219839142091","16.215648391207","0.536081920780045"
"hopeless","25.7142857142857","0.402144772117962","21.8969238644444","0.723902290012101"
"down","30.7047619047619","0.480190646410486","21.8512998247085","0.722393980121227"
"positive","58.6666666666667","0.917485850461722","23.8382637898153","0.788082100215939"
"fatigue","50.1619047619048","0.784480190646411","27.9071688506748","0.92259824091371"
"tension","6.26666666666667","0.0980041703902294","9.32456089569026","0.308265719309918"
"concentrate","33.0190476190476","0.516383675901102","25.0449522598793","0.8279746692461"
"accepted","42.6380952380952","0.666815609174858","25.9615558268834","0.858277164030077"
"threatened","20.5428571428571","0.321268990169794","22.7744072672293","0.752911490055721"
"ruminate","33.647619047619","0.526213881441763","29.6430627999398","0.979986101093081"
"avoid_act","41.6285714285714","0.651027703306524","29.7923122320485","0.984920219070355"
"reassure","39","0.609919571045576","27.37840249315","0.905117466926316"
"procrast","28.0952380952381","0.439380399165922","27.657077203022","0.914330325403317"
"avoid_people","48.6190476190476","0.760351504319333","30.2484522656758","1"
